       value         slope  clk_v2t_l_jitter  sample_out  slope_over_scale  const_1
0   0.647139 -91480.415169         -1.782855    0.651765         -9.148042        1
1   0.624360  86227.750113         -2.354596    0.619764          8.622775        1
2   0.685604 -49509.930538        -13.595525    0.691105         -4.950993        1
3   0.695285  95323.376106        -15.328755    0.688335          9.532338        1
4   0.616403 -34600.985719         16.698469    0.620067         -3.460099        1
5   0.601194  26557.953258         10.131771    0.600000          2.655795        1
6   0.663413 -53141.331916         15.063790    0.667161         -5.314133        1
7   0.668296  59360.617683          9.425957    0.664268          5.936062        1
8   0.641622  47611.867900        -17.747493    0.639002          4.761187        1
9   0.636924  76947.347046         -9.210153    0.633517          7.694735        1
10  0.676246 -15291.612424         12.727047    0.680099         -1.529161        1
11  0.657224 -20736.942660         -6.467876    0.660143         -2.073694        1
12  0.628156  15611.589428         19.863310    0.625005          1.561159        1
13  0.681428 -64840.422934        -10.356777    0.687019         -6.484042        1
14  0.631319   4072.577063         -5.619946    0.628890          0.407258        1
15  0.651132  38979.550822          3.838199    0.648411          3.897955        1
16  0.607185  -3043.747873          7.641335    0.607635         -0.304375        1
17  0.694565 -83092.095118          0.092879    0.699603         -8.309210        1
18  0.670967 -76025.540920        -18.755774    0.676562         -7.602554        1
19  0.610356  61664.515470          5.210503    0.606493          6.166452        1
