,Unnamed: 0,<input[0] -- indiff>,<input[1] -- incm>,swept_group,sweep_id,<None -- vdd>,<None -- rfadj<0>>,<None -- rfadj<1>>,<None -- rfadj<2>>,<None -- rfadj<3>>,<None -- rfadj<4>>,<None -- rfadj<5>>,"<None -- rfadj -- (6,)>",<out0_outdiff>,<out0_outcm>,<out1_outdiff>,<out1_outcm>,<out2_outdiff>,<out2_outcm>,<out3_outdiff>,<out3_outcm>,<out4_outdiff>,<out4_outcm>,mode_id
0,0,1.4748203386764226e-05,4.835739785214589e-07,vdd,0.0,2.835407213460615,0,1,0,0,0,0,16,0.0361866425694614,2.1866605772617174,0.0361866425694614,2.1866605772617174,0.0361866425694614,2.1866605772617174,0.0361866425694614,2.1866605772617174,0.0361866425694614,2.1866605772617174,()
1,1,5.7698011351082e-05,2.815499977769448e-07,vdd,0.0,2.835407213460615,0,1,0,0,0,0,16,0.0804345090927398,2.1846482533653764,0.0804345090927398,2.1846482533653764,0.0804345090927398,2.1846482533653764,0.0804345090927398,2.1846482533653764,0.0804345090927398,2.1846482533653764,()
2,2,-4.137509382487578e-05,-5.673502979087171e-07,vdd,0.0,2.835407213460615,0,1,0,0,0,0,16,-0.072319206627216,2.1806604628333552,-0.072319206627216,2.1806604628333552,-0.072319206627216,2.1806604628333552,-0.072319206627216,2.1806604628333552,-0.072319206627216,2.1806604628333552,()
3,3,3.520081005139956e-05,6.439080846394535e-07,vdd,1.0,2.965474905134607,0,1,0,0,0,0,16,0.0735245473732506,2.2927123091406942,0.0735245473732506,2.2927123091406942,0.0735245473732506,2.2927123091406942,0.0735245473732506,2.2927123091406942,0.0735245473732506,2.2927123091406942,()
4,4,-4.953514068221369e-05,-5.581209580774883e-07,vdd,1.0,2.965474905134607,0,1,0,0,0,0,16,-0.0874504556040376,2.285979826755736,-0.0874504556040376,2.285979826755736,-0.0874504556040376,2.285979826755736,-0.0874504556040376,2.285979826755736,-0.0874504556040376,2.285979826755736,()
5,5,1.0389225403915723e-05,1.800932239586601e-07,vdd,1.0,2.965474905134607,0,1,0,0,0,0,16,0.0266273910266203,2.2905145541491883,0.0266273910266203,2.2905145541491883,0.0266273910266203,2.2905145541491883,0.0266273910266203,2.2905145541491883,0.0266273910266203,2.2905145541491883,()
6,6,-3.279529687427415e-05,9.245900716687654e-07,rfadj,0.0,3.0,0,0,1,1,0,1,13,-0.0743112636871146,2.320305155326346,-0.0743112636871146,2.320305155326346,-0.0743112636871146,2.320305155326346,-0.0743112636871146,2.320305155326346,-0.0743112636871146,2.320305155326346,()
7,7,8.192676914864316e-06,-8.3503934338061e-07,rfadj,0.0,3.0,0,0,1,1,0,1,13,0.0227253184526263,2.311134392329917,0.0227253184526263,2.311134392329917,0.0227253184526263,2.311134392329917,0.0227253184526263,2.311134392329917,0.0227253184526263,2.311134392329917,()
8,8,2.837590527555652e-05,-2.7244158151735384e-08,rfadj,0.0,3.0,0,0,1,1,0,1,13,0.0674921618055615,2.315270953259415,0.0674921618055615,2.315270953259415,0.0674921618055615,2.315270953259415,0.0674921618055615,2.315270953259415,0.0674921618055615,2.315270953259415,()
9,9,-4.439117062197429e-06,-2.5337613720991586e-07,rfadj,1.0,3.0,0,1,0,1,0,1,21,-0.0085448889387551,2.314264997951975,-0.0085448889387551,2.314264997951975,-0.0085448889387551,2.314264997951975,-0.0085448889387551,2.314264997951975,-0.0085448889387551,2.314264997951975,()
